ID,SPNAME,COLLID,ELAPS_TIME,CPU_TIME,SUSPEND,LOCK_LATCH,SYNCIO,SQL_STMT_AVG,CP_CPU_SU,SQL_STMT_TOTAL,OCCUR,DATE,VER,SP_OK
SP326,EGKTORG1,CORPK002,0.005171,0.000583,0.004593,0.000023,0.003144,4,15.29,56,14,20200905,221320,1
SP327,EGREMIN1,CORPK008,0.001205,0.000576,0.000629,0.000104,0.000457,5.29,15.23,4527,855,20200905,221320,1
SP328,EGAIFOI1,CORPK008,0.000647,0.000582,0.000064,0,0,8,15,8,1,20200905,221320,1
SP329,EGHCSTA1,CORPK003,0.003108,0.000563,0.00255,0.000007,0.002518,7.75,14.88,62,8,20200905,221320,1
SP330,EGACCNT3,CORPK006,0.01062,0.000561,0.010082,0.000045,0.009869,4.08,14.85,106,26,20200905,221320,1
SP331,EGKPECR1,CORPK002,0.002028,0.000561,0.001476,0.000038,0.001373,6,14.81,4236,706,20200905,221320,1
SP332,EGANOPA1,CORPK001,0.000671,0.000557,0.000115,0,0.000115,3,14.5,6,2,20200905,221320,1
SP333,EGSGMFC1,CORPK005,0.004796,0.000548,0.004282,0.000026,0.004256,1,14.46,5589,5589,20200905,221320,1
SP334,EGBDEBR1,CORPK009,0.006541,0.000543,0.00603,0.000115,0.005842,3.82,14.41,65,17,20200905,221320,1
SP335,EGFPDET1,CORPK009,0.000626,0.000543,0.000086,0.000024,0,5,14.3,50,10,20200905,221320,1
SP336,EGDCHQS2,CORPK009,0.0024,0.000542,0.001872,0.000048,0.001577,4,14.29,184681,46132,20200905,221320,1
SP337,EGLFUEL1,CORPK003,0.006255,0.000539,0.005738,0.000258,0.005401,3,14.24,51,17,20200905,221320,1
SP338,EGCHMOB1,CORPK008,0.009936,0.00054,0.009421,0.000111,0.009255,5.12,14.21,625,122,20200905,221320,1
SP339,EGARCNF1,CORPK002,0.000999,0.000541,0.000463,0.000145,0.000319,25,14.18,275,11,20200905,221320,1
SP340,EGCCHMO4,CORPK006,0.002422,0.000535,0.001893,0.000073,0.001738,5.07,14.12,1973,389,20200905,221320,1
SP341,EGAGEPA1,CORPK008,0.004235,0.000531,0.003748,0,0.002283,3,14,6,2,20200905,221320,1
SP342,EGSHPTI1,CORPK004,0.036499,0.000531,0.036057,0,0.036008,1,14,1,1,20200905,221320,1
SP343,EGSRWOD1,CORPK005,0.002918,0.000533,0.002405,0.000064,0.001944,2,14,14,7,20200905,221320,1
