   ,ID,SPNAME,COLLID,OCCUR,CP_CPU_SU,CPU_TIME,ELAPS_TIME,LOCK_LATCH,SQL_STMT_AVG,SQL_STMT_TOTAL,SUSPEND,SYNCIO,TOTAL_SUSPENSIONS_AVG,LOCK_REQUEST_AVG,GETPAGES_AVG,SYNCH_READ_AVG,SELECT_AVG,INSERT_AVG,UPDATE_AVG,DELETE_AVG,   
91,145702,sp91,CORPK033,1,281,0.010324,0.036322,0.004557,83,83,0.024695,0.014552,2,61,247,4,32,3,2,0,   
92,148024,sp92,CORPK135,15,272.8,0.010012,0.013356,0.0005,17.4,261,0.002796,0.000201,0,18,1080,0,4,1,0,0,   
93,147855,sp93,CORPK132,235,271.96,0.009978,0.04362,0.003863,63,14805,0.033468,0.025001,1,57,305,4,22,0,3,0,   
94,144377,sp94,CORPK008,27103,270.9,0.00994,0.03142,0.002278,68.74,1863052,0.02149,0.007825,2,65,328,2,34,4,4,0,   
95,143840,sp95,CORPK002,93,265.72,0.009749,0.038943,0.003523,64.95,6040,0.029006,0.019014,3,58,329,4,41,3,0,0,   
96,145924,sp96,CORPK036,10,264.4,0.009702,0.03619,0.002139,63.5,635,0.026659,0.015206,2,67,330,3,38,5,2,0,   
97,146383,sp97,CORPK041,1,261,0.009592,0.027439,0.000184,48,48,0.018055,0.016048,0,41,205,11,29,1,0,0,   
98,146448,sp98,CORPK043,12,259.5,0.009526,0.030461,0.003472,41.42,497,0.020981,0.007548,1,44,249,3,21,1,1,0,   
99,148254,sp99,CORPK140,4,258.5,0.00949,0.056149,0.016465,621,2484,0.043435,0.003387,1,16,1179,2,484,1,0,0,   
100,148241,sp100,CORPK140,1,258,0.009456,0.085714,0.000083,37,37,0.076436,0.043303,0,35,958,13,26,2,1,0,   
101,144815,sp101,CORPK020,2,257,0.009429,0.039056,0.001033,22.5,45,0.030527,0.023913,0,162,648,62,9,4,3,0,   
102,145873,sp102,CORPK035,24,256.58,0.009416,0.044236,0.007076,66.25,1590,0.034651,0.022186,1,49,271,4,16,3,3,0,   
103,145919,sp103,CORPK036,51,250.61,0.009198,0.041333,0.001947,47.94,2445,0.032172,0.024941,2,64,598,3,37,2,2,0,   
104,146017,sp104,CORPK038,32,249.56,0.009157,0.018288,0.000931,30.22,967,0.008896,0.002318,1,24,309,0,17,1,2,0,   
105,145078,sp105,CORPK021,416,249.25,0.009146,0.016311,0.004504,94.69,39393,0.006894,0.002353,2,57,370,1,63,1,0,0,   
106,148025,sp106,CORPK135,19,247.79,0.009091,0.039231,0.002154,149.63,2843,0.030181,0.016852,0,11,623,11,3,0,0,0,   
107,147943,sp107,CORPK133,1,248,0.009088,0.100656,0.006302,31,31,0.092106,0.079797,0,34,159,12,6,1,2,0,   
108,145088,sp108,CORPK021,16,247.5,0.009079,0.024451,0.002203,45.94,735,0.015241,0.003582,1,50,228,1,27,1,0,0,   
109,144253,sp109,CORPK007,26,247,0.009063,0.01895,0.000618,18.69,486,0.009613,0.001541,0,25,242,0,8,1,1,0,   
110,146447,sp110,CORPK043,8,246.63,0.009052,0.035855,0.003931,46.5,372,0.027114,0.009921,1,44,232,2,23,1,1,0,   
111,148422,sp111,CORPK146,185,245.66,0.009015,0.011108,0.00044,11.55,2136,0.001895,0,0,8,1239,0,3,0,0,0,   
112,146445,sp112,CORPK043,1,246,0.009012,0.061364,0.00793,35,35,0.05231,0.028277,3,51,280,6,20,2,1,0,   
113,148034,sp113,CORPK135,4,242.25,0.008884,0.021081,0.000211,79,316,0.012124,0.005117,1,31,574,3,20,1,0,0,   
114,145089,sp114,CORPK021,6,237.67,0.008719,0.022674,0.000422,70.17,421,0.013952,0.004793,0,66,285,2,32,3,0,0,   
115,144130,sp115,CORPK005,2,237.5,0.008702,0.045189,0.001655,45.5,91,0.036668,0.022485,2,50,258,8,28,4,3,0,   
116,148016,sp116,CORPK135,3,236.67,0.00868,0.024517,0.001375,30,90,0.015875,0.006249,0,39,550,2,8,1,1,0,   
117,146311,sp117,CORPK041,8,236.13,0.008668,0.03796,0.002153,40.25,322,0.0293,0.026972,0,44,205,4,14,1,1,0,   
118,144365,sp118,CORPK008,16,233.81,0.008583,0.051421,0.001978,43,688,0.042874,0.031802,1,67,291,6,26,4,1,0,   
119,144465,sp119,CORPK009,126,232.33,0.008528,0.016378,0.001902,91.61,11543,0.007784,0.002621,2,57,348,1,67,3,4,0,   
120,143699,sp120,CORPK001,2,232.5,0.008523,0.040332,0.002815,48.5,97,0.0319,0.017728,2,74,208,5,26,1,0,0,   
121,145074,sp121,CORPK021,396,231.74,0.008506,0.020674,0.001993,54.16,21447,0.011893,0.001605,1,42,215,0,19,2,2,0,   
